Week	Date	Opponent	Result	Record	Game Site	Attendance
1	September 30, 1956	Chicago Bears	W 28–21	1–0	Memorial Stadium	45221
2	October 6, 1956	Detroit Lions	L 14–31	1–1	Memorial Stadium	42622
3	October 14, 1956	at Green Bay Packers	L 33–38	1–2	Milwaukee County Stadium	24214
4	October 21, 1956	at Chicago Bears	L 27–58	1–3	Wrigley Field	48364
5	October 28, 1956	Green Bay Packers	W 28–21	2–3	Memorial Stadium	40086
6	November 11, 1956	at Cleveland Browns	W 21–7	3–3	Cleveland Stadium	42404
7	November 18, 1956	at Detroit Lions	L 3–27	3–4	Tiger Stadium	55788
8	November 25, 1956	Los Angeles Rams	W 56–21	4–4	Memorial Stadium	40321
9	December 2, 1956	San Francisco 49ers	L 17–20	4–5	Memorial Stadium	37227
10	December 9, 1956	at Los Angeles Rams	L 7–31	4–6	Los Angeles Memorial Coliseum	51037
11	December 16, 1956	at San Francisco 49ers	L 17–30	4–7	Kezar Stadium	43791
