Game	December	Opponent	Score	Record	Points
25	2	@ Boston Bruins	3–5	12–9–4	28
26	3	Toronto Maple Leafs	7–2	13–9–4	30
27	7	New York Rangers	2–5	13–10–4	30
28	9	Boston Bruins	9–2	14–10–4	32
29	10	@ New York Rangers	4–0	15–10–4	34
30	14	Pittsburgh Penguins	2–1	16–10–4	36
31	16	@ Atlanta Flames	2–7	16–11–4	36
32	17	St. Louis Blues	4–1	17–11–4	38
33	19	@ Washington Capitals	4–4	17–11–5	39
34	21	Washington Capitals	5–2	18–11–5	41
35	23	@ Chicago Black Hawks	2–5	18–12–5	41
36	26	@ Detroit Red Wings	2–2	18–12–6	42
37	28	New York Rangers	6–5	19–12–6	44
38	30	@ St. Louis Blues	3–6	19–13–6	44
